Tb.Th Mean (µm),Tb.Th Std Dev (µm),Tb.Th Max (µm),Tb.Sp Mean (µm),Tb.Sp Std Dev (µm),Tb.Sp Max (µm),BV (micron^3),TV (micron^3),BV/TV,Corr. Euler (χ + Δχ),Connectivity,Connectivity Density (µm⁻³)
0.003290078067404,0.0012276305223074,0.0070975418165912,0.0060854108314814,0.0017568208570555,0.0185708286255363,0.0067495550529979,0.0320699302815928,0.2104636646769368,23822.875,224804.125,7009810.218671746
0.0025376303074478,0.000797221654368,0.0059218356510237,0.0048519910219733,0.0016050784374372,0.0164476622693217,0.0070315385359053,0.030231634609016,0.232588764280985,-132788.125,455141.125,15055127.878009668
0.0026453775624077,0.0007961708578433,0.0063307084180184,0.0047801134832323,0.0016057495359628,0.0129547697177765,0.0079478406333978,0.0313144735223952,0.2538072571366646,-127257.25,468807.25,14970944.654864509
0.0030712555712602,0.0010034359815552,0.0073654675108241,0.0059588030567319,0.0019134541196147,0.0157480314960629,0.0073234957616568,0.0316034647817327,0.2317307868689755,-28414.75,237625.75,7518977.796932928
0.0031463482717829,0.0010755164182092,0.0070975418165912,0.0058998615722956,0.0018937130143323,0.0172735518357885,0.0076833680365195,0.0323044445301489,0.2378424439197166,-42392.75,239849.75,7424667.208753718
0.003409727117208,0.001284393269246,0.0070975418165912,0.00612082678502,0.0016492839873306,0.0155000151611688,0.0064839511138175,0.0309318870360181,0.2096202894529985,20060.25,184055.75,5950356.335702347
0.0032000248357066,0.0012669542173701,0.0068190975452032,0.0061332780545152,0.0016251822390894,0.0144654906640841,0.0058810679875296,0.0313918344372121,0.1873438775708565,3314.75,206219.25,6569200.357260603
0.0033569278138011,0.0011241217521071,0.007247619605707,0.0062525329828654,0.0018568862676728,0.0162061691994721,0.0069023891426658,0.0302140502332447,0.2284496480736991,11432.75,170878.25,5655588.995214591
0.003371072164135,0.0011574435832007,0.007247619605707,0.0063568351840659,0.0017973155888351,0.0182736942961009,0.0068497513611823,0.0317775536851622,0.2155531363127146,32440.25,168845.75,5313365.266340134
0.0033077609852393,0.0011441813064652,0.007247619605707,0.0063411504376651,0.0022961514151689,0.020036563179095,0.007844102328058,0.0347185913851434,0.2259337725151688,1283.5,239371.5,6894620.15738434
0.0035603114469783,0.0013665589760607,0.0081163494605717,0.0062808422591742,0.0016323008875208,0.0155000151611688,0.0066071466111928,0.0315955774628084,0.2091161846612925,41535.75,189901.25,6010374.402035696
0.0033253363267643,0.0013158498551901,0.0070975418165912,0.0063218953102592,0.001672279999012,0.0163516209820124,0.0059074331054666,0.0313670387736936,0.1883325087869288,30649.375,197879.625,6308521.069765562
0.0033653674163217,0.0011880000041225,0.0073654675108241,0.0062679976928891,0.0017314963922725,0.0155000151611688,0.0063956325931844,0.0301810766330686,0.2119086959998289,30202.25,168878.75,5595517.749521365
0.0033596777540492,0.0011423631446568,0.0070975418165912,0.0062894572423199,0.0017832803913927,0.0153745074910441,0.0069758587474852,0.0315323025146542,0.2212289681111383,28399.25,178226.75,5652195.868575451
0.0032222278005494,0.0012345582716108,0.0070975418165912,0.006148917468514,0.0016975947252408,0.0155000151611688,0.0063920112153708,0.0318249456934445,0.2008490847696093,2009.125,214147.875,6728931.3566405
0.0031027707058613,0.0012191279431966,0.0073654675108241,0.0061801043082409,0.0016744303421711,0.0144654906640841,0.0057647529173011,0.0309124500200279,0.1864864452208143,-5238.75,220764.75,7141612.84068289
0.0036675068806475,0.0014603393753682,0.0078740157480314,0.0062796581448532,0.0017634097516067,0.0172735518357885,0.0062942607122911,0.0297792209757647,0.211364183012496,20443.75,182667.25,6134050.657290868
0.0032344936855196,0.0014025933864548,0.0073654675108241,0.0060832444138414,0.0016348299783045,0.0161128982784241,0.0053585140388784,0.0293460744401803,0.1825973027432126,-7694.5,210985.5,7189564.670057558
0.0033657668143745,0.0011548277899974,0.0073654675108241,0.006195147675792,0.0017927863935785,0.0151203654882476,0.0075253451441942,0.033013113270321,0.2279501809651969,9140.125,201292.875,6097361.171355002
0.0035017808591286,0.0013954740340315,0.0073654675108241,0.006271183960081,0.0017104590032983,0.0176068347270094,0.0067062663345307,0.0323044445301489,0.2075957792207792,5225.25,208380.75,6450528.805889964
0.003190196852738,0.0012693138359007,0.0073949296936143,0.0064064277951623,0.0019395674827428,0.0198623527306441,0.0065984846720267,0.0352753070132782,0.1870567609671825,-6770.5,235317.5,6670884.534369111
0.0028700402198931,0.0011666805040798,0.0073949296936143,0.0065292672324205,0.0020311259599317,0.018645112728579,0.0053461690897489,0.0337690636363332,0.1583155857480412,-17179.5,243329.5,7205692.838287466
0.0031238808404268,0.0012949762624515,0.0073949296936143,0.0064671100775858,0.0019665349122146,0.0210091871300925,0.0057501045973955,0.0337690636363332,0.1702772886840969,14066.25,231135.75,6844600.504448503
0.0034929827398951,0.0013698920060535,0.0079055121453641,0.0065974638248572,0.0018295953648618,0.0159340691734725,0.0068128461966308,0.0350219842635192,0.1945305595870389,24282.5,194738.5,5560464.493807956
