Apparent Strength (Mpa)
5.2
4.8
5.3
9.9
7.9
3.9
2.7
11.9
9.0
8.6
6.6
3.7
5.0
5.4
3.4
3.0
4.9
4.6
5.9
4.2
3.3
4.7
3.7
4.8
