Tb.Th Mean (µm),Tb.Th Std Dev (µm),Tb.Th Max (µm),Tb.Sp Mean (µm),Tb.Sp Std Dev (µm),Tb.Sp Max (µm),BV (micron^3),TV (micron^3),BV/TV,Corr. Euler (χ + Δχ),Connectivity,Connectivity Density (µm⁻³)
0.0031880811443479,0.0009206223675585,0.0068190975452032,0.0047731554414343,0.0011314938622196,0.0088034173635047,0.0095905440642082,0.0320699302815928,0.2990509795312179,83859.5,166217.5,5182970.41934649
0.0023732745617305,0.0005811331175413,0.0054825542155537,0.0036397037026616,0.0008136269663016,0.0085229769343455,0.0092816213132021,0.030231634609016,0.3070168528179453,152866.25,247598.75,8190054.993789775
0.0024622280392563,0.0005815355502529,0.0050048645115281,0.003644811371845,0.0008461362844773,0.0082238311346608,0.0103390117816584,0.0313144735223952,0.330167191674617,95808.625,271967.375,8685037.441408556
0.0030862226730256,0.0007678821800261,0.0062249560994426,0.0045318556582833,0.0012092041218374,0.0090208185000682,0.0111506732917501,0.0316034647817327,0.3528307218452639,-47835.5,208812.5,6607266.052698653
0.0030184871568454,0.0007635768590949,0.0059055118110236,0.00458359436726,0.0011443771480575,0.0085805100718821,0.0106099085229666,0.0323044445301489,0.3284349468713105,2007.625,194139.375,6009680.024642266
0.0034382040575733,0.0011342658301976,0.0073654675108241,0.0036351072975969,0.0008001227782467,0.0070975418165912,0.0120167527798146,0.0309318870360181,0.3884907754196143,-236200.375,330921.375,10698389.484439263
0.003356089272837,0.0011416867258041,0.0070975418165912,0.0036726967086942,0.0007979374114922,0.0068190975452032,0.0114898890292367,0.0313918344372121,0.3660152149508184,-247141.875,355197.875,11314976.692758834
0.0031389863621778,0.0008688590622582,0.0069839807380396,0.0041302135666621,0.0008762453318263,0.0079864874009373,0.0101465760223039,0.0302140502332447,0.3358231003117743,71266.75,158844.25,5257297.474974816
0.0032116943958094,0.0008978408949743,0.0067099915910584,0.0041789830002859,0.0008808913427788,0.0079864874009373,0.0105719852660257,0.0317775536851622,0.3326871970941565,89987.625,160443.375,5048952.999642484
0.003319822533516,0.000968889152421,0.007247619605707,0.0037493080940802,0.0009392857695456,0.0079864874009373,0.0144209860871988,0.0347185913851434,0.4153678335397504,-93154.75,261779.75,7540045.248264865
0.0036269733755607,0.0012046279400352,0.0073654675108241,0.0033347670018203,0.0007902013621931,0.0065287891335374,0.0147590425594237,0.0315955774628084,0.4671236845345443,-384421.375,432879.375,13700631.852972064
0.00344083417119,0.0011591495960716,0.0073654675108241,0.0034032501573637,0.0007861013135572,0.0070975418165912,0.0134568816750822,0.0313670387736936,0.4290134549254298,-408206.625,464184.625,14798484.11413619
0.0041126266239196,0.0010906337049063,0.0083516545183076,0.0025606202328298,0.000519945337547,0.0059055118110236,0.020638617372215,0.0301810766330686,0.683826412925305,-52807.625,92017.625,3048851.6403413746
0.0040964671945947,0.0010428560061717,0.0083516545183076,0.0025976612342624,0.0005344935054854,0.0059055118110236,0.0213979834947858,0.0315323025146542,0.6786051695667148,-77737.0,118547.0,3759541.5033490425
0.0039049440950859,0.0010342988676912,0.0081163494605717,0.0026578731893554,0.0005498939142452,0.0059055118110236,0.0203690821690206,0.0318249456934445,0.6400350959032858,-231343.5,267960.5,8419825.836661076
0.0040271235263253,0.0010319008367268,0.0081163494605717,0.0025728863524639,0.000529928880883,0.0059055118110236,0.0209193790373309,0.0309124500200279,0.6767298943880983,-96695.125,160839.125,5203053.297159988
0.0044282566844009,0.0009180291548488,0.0083516545183076,0.0027589025929218,0.000652949289074,0.0059055118110236,0.021428380947313,0.0297792209757647,0.7195749332983602,206530.5,-118430.5,-3976950.911388255
0.0043900130301948,0.0008642814877465,0.0083516545183076,0.0026357877911545,0.0005926070368196,0.0055677698353144,0.0215296155247822,0.0293460744401803,0.7336455023539392,218033.75,-108891.75,-3710607.025889173
0.0035133270297463,0.0010659998561453,0.0081163494605717,0.0033708273425815,0.0007984486855859,0.0068190975452032,0.0152647510942167,0.033013113270321,0.4623844764116763,-362613.25,419526.25,12707866.91836048
0.0034639032806937,0.0011466645349667,0.0078740157480314,0.00333621323578,0.000754846597281,0.0068190975452032,0.0143930831660875,0.0323044445301489,0.4455449822904368,-407834.375,461322.375,14280461.456919951
0.002153187672936,0.0003467839699323,0.0048411179040561,0.0057641924832857,0.0016538405212036,0.0126549942945715,0.004650107864549,0.0352753070132782,0.1318233137644598,303164.0,88660.0,2513372.880542949
0.0021573894100896,0.0003604731890549,0.0044193157033814,0.0056929613290828,0.0017639650739808,0.0150516468841888,0.004312230330103,0.0337690636363332,0.1276976577302354,319705.375,78425.625,2322410.412221775
0.0021701331558917,0.0003676666671981,0.0048411179040561,0.005840371292542,0.0016893486635096,0.0150516468841888,0.0042989849610262,0.0337690636363332,0.1273054239028654,302539.0,75400.0,2232812.873107761
0.0022354700037075,0.0003951360775056,0.0048411179040561,0.005826567806148,0.0016870470614992,0.0138346462543872,0.0050668197590946,0.0350219842635192,0.1446754050532919,256763.875,89183.125,2546489.7799322507
