Tb.Th Mean (µm),Tb.Th Std Dev (µm),Tb.Th Max (µm),Tb.Sp Mean (µm),Tb.Sp Std Dev (µm),Tb.Sp Max (µm),BV (micron^3),TV (micron^3),BV/TV,Corr. Euler (χ + Δχ),Connectivity,Connectivity Density (µm⁻³)
0.0064043665495444,0.0025196420395468,0.0159922021580493,0.0079568737135158,0.0022333773571675,0.0167033090366153,0.0133368603658959,0.0320699302815928,0.4158680810588127,-40470.375,46182.375,1440052.2419129566
0.007241577598415,0.0031589950929547,0.0159057074761787,0.0065078014514957,0.0018152818911151,0.0127599507780078,0.0151939699080123,0.030231634609016,0.5025851266236521,-26656.875,41494.875,1372564.7169480156
0.007662373165586,0.0031799757421938,0.0156677042802026,0.0066509482574999,0.001947683573917,0.0142440939405414,0.0161552203201112,0.0313144735223952,0.5159026642602641,-42002.875,53574.875,1710866.2217068616
0.0071033919890095,0.0025770082248477,0.0159922021580493,0.0077801797333664,0.0022234156375794,0.0171610201437642,0.014647171734058,0.0316034647817327,0.4634672759843827,-30697.375,36390.375,1151467.892882245
0.0071403280956538,0.0027091862179162,0.0158705861549677,0.007571083354199,0.0022888854732663,0.0159922021580493,0.0155019074801929,0.0323044445301489,0.4798691853600944,-31791.625,37787.625,1169734.5535452184
0.006061602295853,0.002096446480338,0.0159922021580493,0.0077110205109663,0.002142082283816,0.0157480314960629,0.0136894984665953,0.0309318870360181,0.4425691342611858,-26578.875,34062.875,1101222.0159842172
0.0056579648040411,0.0018785871624007,0.0155000151611688,0.0074720082320566,0.0021048964947227,0.0148618784476452,0.0139522228478512,0.0313918344372121,0.4444538873877376,-28809.875,37674.875,1200148.8818805644
0.0070786891188553,0.0026317838830349,0.0164360551283474,0.0082447022087019,0.0020678190441917,0.0156166558608494,0.013195698232481,0.0302140502332447,0.4367404611633875,-10889.25,19313.25,639214.2017010837
0.0064700375540571,0.0022144566217521,0.0164360551283474,0.0082087459331881,0.0021452939698042,0.0159729748018746,0.0133716480705556,0.0317775536851622,0.4207890954425225,-21248.5,28611.5,900368.23738762
0.0073081109199994,0.0025664113766487,0.0159729748018746,0.0083795809601027,0.0025788393780146,0.0162061691994721,0.0168592095147865,0.0347185913851434,0.4855960118820034,2288.25,15574.75,448599.7092227845
0.0060501718145655,0.0019987866165131,0.0153745074910441,0.008041580830972,0.0020982827257922,0.0158705861549677,0.0126462136536477,0.0315955774628084,0.4002526514520517,-33250.625,37651.625,1191673.8994348235
0.0056626716936667,0.0018649468506415,0.0157480314960629,0.0078322441559138,0.0020563097920004,0.0153745074910441,0.0125823237005725,0.0313670387736936,0.4011320224185427,-32096.625,37903.625,1208390.2874436553
0.0061874380261879,0.0021985525221336,0.0158705861549677,0.008065821617607,0.0021710790048434,0.0159922021580493,0.0123421180343837,0.0301810766330686,0.4089356448225829,-32440.75,37457.75,1241100.5231986495
0.0067550746474679,0.0026309851586349,0.0164696851114588,0.0081364197993841,0.0022028668189611,0.0161128982784241,0.0132575971967888,0.0315323025146542,0.4204449450092514,-31088.25,36153.25,1146546.4655870986
0.0060595212958929,0.0020782949886922,0.0158705861549677,0.0078086580817155,0.0021458183686564,0.0167033090366153,0.0136460924681199,0.0318249456934445,0.428786040974482,-30696.625,37027.625,1163478.02622102
0.0057737113922599,0.0017061597249639,0.0139194248229499,0.0076560349914971,0.0021135853970144,0.0158705861549677,0.0133908263325877,0.0309124500200279,0.4331855392863351,-27100.875,34437.875,1114045.472865719
0.0061649149797094,0.002370929154824,0.0163516209820124,0.00810024775858,0.0022551574575619,0.0168189045012466,0.012464078754437,0.0297792209757647,0.4185495236621762,-32953.0,38627.0,1297112.5077931285
0.0055154801353694,0.0016393384595555,0.0153745074910441,0.0076709061157046,0.0021326422222017,0.0147309350216482,0.012337812999937,0.0293460744401803,0.4204246474289659,-29645.0,36625.0,1248037.4530043916
0.0070597355759988,0.002753240620996,0.0162326989211435,0.008100417655284,0.0022907878939561,0.0158705861549677,0.0149728192234435,0.033013113270321,0.4535415700070981,-21975.75,29608.75,896878.4542540683
0.0064414932033208,0.0024092277203957,0.0158705861549677,0.0079327192832165,0.0021969737030389,0.0158705861549677,0.0141954196309967,0.0323044445301489,0.4394262101534829,-22326.125,30320.125,938574.4110753246
0.0063505423821145,0.0021502680852492,0.0167701229820051,0.0075745564307558,0.0022911026151423,0.0173426467765882,0.017742697794576,0.0352753070132782,0.5029778419192035,1412.375,17000.625,481941.2342350606
0.0062581390339246,0.0018704843176411,0.016535564551228,0.007169055104264,0.0023353982640286,0.0155620158799635,0.0186019966620896,0.0337690636363332,0.550859119530787,35349.75,-4940.75,-146309.9496393524
0.0062138824950735,0.0019579348275198,0.0159340691734725,0.0075516911963299,0.0022458490059966,0.0154360061738291,0.016517042787619,0.0337690636363332,0.4891175830486404,2480.5,16721.5,495172.15461102687
0.0063346000951216,0.002086458178024,0.0142518645704562,0.0080821095039971,0.0021990698698761,0.0160561716457303,0.0157350854501043,0.0350219842635192,0.4492916601100433,-5851.625,18824.625,537508.8075637307
